id,user_id
0,2638453861807501
1,414700914
2,1314664988279651
3,1667336956544136
4,93383672205
5,96182995831
6,3975376680
7,2403964280115580
8,62405194387
9,105016457373
10,781082204585498
11,857274479819031
12,2117353278
13,62585699597
14,7401697351663174713
15,97745190218
16,1104353597859991
17,3940305964379500
18,1028733843551699
19,2018305015556519
20,2076344470222862
21,1604930856302267
22,330306343412296
23,98846394415
24,1588136783656461
25,4085416713002749
26,104964576385
27,97759478303
28,92290298188
29,77015026298
30,2335798600413927
31,4372690758
32,571340677189875
33,541396611120477
34,2031492324137367
35,1345401423661806
36,4266568018561983
37,98738292961
38,776732360835072
39,206362662148312
40,2634062065570091
41,110578594955
42,1284651336866328
43,4345717571980211
44,1295652961917754
45,1125541149156303
46,526890129
47,522653994
48,99721845672
49,51203239760
50,87847372895
51,61512667503
52,1952940755
53,4157040672
54,1581041442
55,1349022549
56,4286373872545024
57,69557595173
58,62144466075
59,3314359236840624
60,255564492313342
61,1471573909
62,52184629122
63,3050510194841683
64,3834686084482254
65,1500572628
66,1231880946986382
67,4340526368427500
68,2718408880444541
69,1437787965108707
70,3235193756320537
71,78051464160
72,2463326959331276
73,97972831680
74,3302562925905059
75,1409247438
76,104439645443
77,73886929657
78,59678414831
79,83354094904
80,100930506481
81,109122795583
82,102653196141
83,2412760724673652
84,1972999009861680
85,93646630198
86,78610075871
87,923213706827790
88,88113263185
89,3432269218
90,108069872770
91,117009410177356
92,575798109550072
93,2922931888329711
94,99998865781
95,64210922120
96,61168758102
97,109177284259
98,310538383136416
99,4204130845600776
100,81218650349
101,2806369202736643
102,1649326273
103,1267074360437726
104,1490565472193528
105,99253203357
106,104352415828
107,852824805874184
108,101809725241
109,1563918518988620
110,78762126086429
111,358902171967888
112,67927582638
113,3136236078760926
114,2287406513136139
115,1950964261064236
116,4130191121582296
117,4473247158517639
118,4365532753312380
119,1731080094486308
120,613955021834841
121,501247999
122,51305641347
123,3874327002885451
124,94125512888
125,93553170241
126,3235183231768251
127,184313531873063
128,2356973574315124
129,3767178337
130,20008065952
131,54829518010
132,2377595092735831
133,1187948233237463
134,4063178582
135,4037883833366915
136,141199069690312
137,2313803848746648
138,3966637059357405
139,2392171361870839
140,7439027479974659131
141,814097401131096
142,76374405085
143,1550772352592764
144,483787858
145,1254222137
146,4531908194
147,83073559459
148,1081516133193805
149,1803621678186775
150,687090964
151,1981784419740052
152,1456212550114883
153,3006488747186224
154,1997256205
155,1362405378
156,2771196464348351
157,2146580335
158,2977920491454599
159,372098394494560
160,2700030802133742
161,67177180590
162,104333212783
163,4120612427275547
164,110683394840
165,3184626943141544
166,2711947648
167,105152317244
168,4418295410463235
169,4273128892280852
170,369068946499870
171,1204663981715635
172,4386289932
173,1873204388575232
174,98559923761
175,2909727501065172
176,729667514414829
177,70504245081
178,109690970206
179,3548831477666827
180,396237806513275
181,3633232679012935
182,110824027450
183,99854964202
184,108613632494
185,3325344079939677
186,1887872945
187,3228618714253852
188,1416638062658542
189,1169497466083292
190,2066688474101175
191,3578252435405898
192,493060789108893
193,88779828584
194,103510315958
195,2995485510208039
196,67606032
197,668922759630388
198,473495962
199,61963406793
200,505399315270846
201,1158177051
202,3439724466
203,1028738363426423
204,739345397202040
205,70562332809
206,87903090717
207,1578551111848955
208,51603661935
209,62983648917
210,764853186733694
211,1486138546329468
212,2057929007310776
213,4076581585426301
214,3294605670876515
215,1893798456344410
216,104584204372
217,87775039937
218,4391910371764539
219,905388401
220,65605720352028
221,93407867616
222,5359730754
223,2762392969943944
224,4248137921988782
225,4152184894138631
226,2452356819849227
227,110945728486
228,4099436973401743
229,2211853398185139
230,92526135998
231,3444100311552271
232,473205444969632
233,55967540356
234,5359687662
235,82144792001
236,2541692306868973
237,1204678664135683
238,5438565291
239,2541668212942007
240,93103053020
241,2069747982941594
242,5351606875
243,3249753049799725
244,5214920936
245,3918286177966428
246,4169813515043288
247,5276126157
248,5273440004
249,68811463076
250,5228458034
251,5232077024
252,5234229301
253,62748078273
254,3841758556
255,80344658706
256,1999352085875100
257,562612915
258,4140048830
